album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
The Black Album,1,7721763,7721763.0,82.0,album,2003-11-14,day,False,14,49,50.35714285714286,65,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
The Sound of Revenge,1,765378,765378.0,57.0,album,2005-01-01,day,False,16,65,30.375,69,10,84,1.4,103,True,True,True,False,True,True,True,False,False,True
Gangsta's Paradise,1,771581,771581.0,70.0,album,1995-11-07,day,False,14,53,0.5714285714285714,8,4,69,10.75,0,False,False,False,False,False,False,False,False,False,False
DAMN.,1,21867402,21867402.0,87.0,album,2017-04-14,day,False,14,48,70.57142857142857,83,3,88,25.333333333333332,183,True,True,True,False,True,True,True,False,False,True
Day69: Graduation Day,1,6717580,6717580.0,70.0,album,2018-04-10,day,False,12,24,50.75000000000001,66,5,82,15.4,181,True,True,True,False,True,True,True,False,False,True
The London (feat. J. Cole & Travis Scott),3,47114314,15704771.333333334,84.33333333333333,single,2019-05-23,day,False,1,3,68.0,68,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
Bawskee,1,2072170,2072170.0,64.0,album,2018-08-24,day,False,18,20,0.1111111111111111,2,2,77,38.5,0,False,False,False,False,False,False,False,False,False,False
The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),1,1634667,1634667.0,0.0,compilation,2006-06-20,day,False,12,40,42.25,69,19,79,3.0,183,True,True,True,False,True,True,True,False,False,True
Kanye West Presents Good Music Cruel Summer,1,1634667,1634667.0,0.0,compilation,2012-01-01,day,False,12,47,0.0,0,43,90,1.4883720930232558,0,False,False,False,False,False,False,False,False,False,False
We All Shine,1,8131483,8131483.0,72.0,album,2019-01-18,day,False,16,47,46.0,70,2,90,29.5,183,True,True,True,False,True,True,True,False,False,True
Keanu Reeves,1,5804618,5804618.0,75.0,single,2019-01-18,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
i am > i was,1,11937369,11937369.0,90.0,album,2018-12-21,day,False,15,43,61.99999999999999,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
No Limit,1,5106233,5106233.0,74.0,single,2017-09-07,day,False,1,4,0.0,0,2,80,40.0,0,False,False,False,False,False,False,False,False,False,False
17,1,38768357,38768357.0,86.0,album,2017-08-25,day,False,11,16,71.36363636363636,87,1,81,81.0,183,True,True,True,False,True,True,True,False,False,True
Party Monster,1,51962229,51962229.0,93.0,single,2016-11-17,day,False,1,4,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Famous Cryp,1,5478557,5478557.0,66.0,album,2018-12-18,day,False,10,17,0.1,1,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Rodeo (Expanded Edition),1,21283824,21283824.0,87.0,album,2015-09-04,day,False,16,65,60.8125,78,13,93,5.461538461538462,183,True,True,True,False,True,True,True,False,False,True
Wow. (Remix),1,38640581,38640581.0,87.0,single,2019-03-15,day,False,1,2,0.0,0,2,79,39.0,0,False,False,False,False,False,False,False,False,False,False
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2,9509229,4754614.5,70.0,single,2019-04-24,day,False,1,4,0.0,0,3,90,25.333333333333332,0,False,False,False,False,False,False,False,False,False,False
Life Is Good (feat. Drake),2,80828881,40414440.5,91.5,single,2020-01-10,day,False,1,3,77.0,77,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Luv Is Rage 2,1,13967565,13967565.0,84.0,album,2017-08-25,day,False,16,49,60.8125,82,3,93,31.0,169,True,True,True,False,True,True,False,False,False,True
GOOBA,1,6717580,6717580.0,70.0,single,2020-05-08,day,False,1,2,4.0,4,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),1,1634667,1634667.0,0.0,compilation,2018-12-14,day,False,13,33,63.76923076923076,82,29,88,1.3793103448275863,183,True,True,True,False,True,True,True,False,False,True
Black Panther The Album Music From And Inspired By,2,30524398,15262199.0,85.0,album,2018-02-09,day,False,14,42,60.57142857142857,82,23,93,4.043478260869565,178,True,True,True,False,True,True,True,False,False,True
B4 The Storm,1,669477,669477.0,70.0,album,2020-08-29,day,False,17,38,39.23529411764706,65,32,88,2.375,183,True,True,True,False,True,True,True,False,False,True
FATHER OF 4,1,2489128,2489128.0,77.0,album,2019-02-22,day,False,16,50,51.125,68,9,90,8.444444444444445,181,True,True,True,False,True,True,True,False,False,True
Racks in the Middle (feat. Roddy Ricch and Hit-Boy),3,11518706,3839568.6666666665,67.33333333333333,single,2019-02-15,day,False,1,3,63.0,63,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
?,1,38768357,38768357.0,86.0,album,2018-03-16,day,False,18,27,67.7222222222222,85,7,73,6.571428571428571,181,True,True,True,False,True,True,True,False,False,True
DROPPED OUTTA COLLEGE,1,1890264,1890264.0,73.0,album,2019-11-22,day,False,8,18,52.375,71,1,68,68.0,183,True,True,True,False,True,True,True,False,False,True
Shoot For The Stars Aim For The Moon,1,11376637,11376637.0,82.0,album,2020-07-03,day,False,19,48,64.42105263157895,80,14,89,4.0,183,True,True,True,False,True,True,True,False,False,True
"good kid, m.A.A.d city",1,21867402,21867402.0,87.0,album,2012,year,False,13,68,53.53846153846154,79,6,96,13.666666666666666,3,True,True,False,False,False,False,False,False,False,True
0 To 100 / The Catch Up,1,68444543,68444543.0,96.0,single,2013-07-14,day,False,1,4,70.0,70,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
SAVAGE MODE II,2,15027331,7513665.5,84.5,album,2020-10-02,day,False,15,39,65.6,79,3,96,23.0,183,True,True,True,False,True,True,True,False,False,True
Nike Ticks,1,51060,51060.0,54.0,single,2019-10-11,day,False,1,1,62.0,62,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
