album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Dogg Food,1,622284,622284.0,45.0,album,1995,year,False,17,63,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Burial Plots & Pyramid Schemes,1,1091,1091.0,18.0,album,2022-04-15,day,False,12,36,8.333333333333334,25,26,62,0.11538461538461539,183,True,True,True,False,True,True,True,False,False,True
Reckless Endangerment,1,144216,144216.0,46.0,album,2019-09-20,day,False,15,39,21.200000000000003,29,9,76,4.222222222222222,183,True,True,True,False,True,True,True,False,False,True
28,1,6897125,6897125.0,68.0,album,2018-11-27,day,False,10,29,29.7,36,12,87,5.416666666666667,183,True,True,True,False,True,True,True,False,False,True
Whut? Thee Album,1,1021070,1021070.0,63.0,album,1992-01-01,day,False,21,40,26.999999999999996,62,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
Ritual of Battle,2,467428,233714.0,48.5,album,2007-09-25,day,False,16,57,25.875,42,70,54,0.5285714285714286,183,True,True,True,False,True,True,True,False,False,True
Rockstar (Popstar Edition),1,5054916,5054916.0,76.0,album,2018-12-07,day,False,18,48,36.55555555555555,47,13,83,4.923076923076923,183,True,True,True,False,True,True,True,False,False,True
Baby Gravy 2,2,2640419,1320209.5,73.5,album,2020-02-14,day,False,10,21,47.49999999999999,67,4,70,14.5,183,True,True,True,False,True,True,True,False,False,True
Playboi Carti,1,7156529,7156529.0,81.0,album,2017-04-14,day,False,15,40,63.53333333333332,78,4,85,13.75,181,True,True,True,False,True,True,True,False,False,True
The Flute Song,1,4586597,4586597.0,75.0,single,2018-08-17,day,False,1,2,46.0,46,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Kitsuné Maison Compilation 15,1,1642710,1642710.0,0.0,compilation,2013-10-21,day,False,19,68,0.0,0,25,68,0.48,0,False,False,False,False,False,False,False,False,False,False
Creeping (feat. Rich the Kid),1,4853490,4853490.0,69.0,single,2018-03-23,day,False,1,2,61.0,61,1,66,66.0,183,True,True,True,False,True,True,True,False,False,True
Critical Beatdown (Re-Issue),1,57372,57372.0,30.0,album,1988,year,False,21,65,16.23809523809524,38,1,23,23.0,183,True,True,True,False,True,True,True,False,False,True
Escapism,1,77166,77166.0,54.0,album,2010-11-17,day,False,16,45,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
"Lil Durk Presents: Only the Family Involved, Vol. 2",1,285297,285297.0,61.0,album,2018-12-21,day,False,12,34,36.16666666666667,67,17,81,4.764705882352941,183,True,True,True,False,True,True,True,False,False,True
The Plugs I Met 2,2,311999,155999.5,60.0,album,2021-03-19,day,False,9,24,37.111111111111114,44,6,75,6.666666666666667,183,True,True,True,False,True,True,True,False,False,True
The Very Best Of D.J. Jazzy Jeff & The Fresh Prince,1,339253,339253.0,54.0,compilation,2006-06-06,day,False,14,54,11.142857142857144,40,1,62,62.0,183,True,True,True,False,True,True,True,False,False,True
For Tonight,1,2588972,2588972.0,79.0,single,2021-09-24,day,False,1,3,72.0,72,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
"First Come, First Served",1,6051,6051.0,18.0,album,2006-09-12,day,False,20,61,0.95,5,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
Grimeyy 2 Society,1,103074,103074.0,45.0,album,2020-07-24,day,False,13,31,0.0,0,5,89,7.6,0,False,False,False,False,False,False,False,False,False,False
AINT GOIN BACK,1,4586597,4586597.0,75.0,single,2019-03-26,day,False,1,2,55.0,55,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Perplexing Pegasus,1,6969537,6969537.0,71.0,single,2017-08-04,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Cheers,1,870939,870939.0,60.0,album,2003-01-01,day,False,17,67,41.94117647058823,63,11,90,8.181818181818182,82,True,True,True,False,True,True,False,False,False,True
Paranoia: A True Story,1,615222,615222.0,60.0,album,2017-08-18,day,False,13,36,30.538461538461537,50,5,87,14.8,178,True,True,True,False,True,True,True,False,False,True
Until Death Call My Name (Reloaded),1,9884041,9884041.0,83.0,album,2018-06-29,day,False,20,48,50.25,67,4,87,21.25,183,True,True,True,False,True,True,True,False,False,True
Above The Rim,1,18581,18581.0,39.0,album,2001-05-01,day,False,18,68,0.0,0,22,78,2.0454545454545454,0,False,False,False,False,False,False,False,False,False,False
QWOP / Basement,1,66200,66200.0,47.0,single,2020-07-24,day,False,2,6,31.0,35,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Breathe Deeper (Lil Yachty Remix),2,14442509,7221254.5,77.5,single,2021-10-06,day,False,1,4,56.0,56,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Active Shooter,1,1644,1644.0,22.0,album,2019-11-01,day,False,9,14,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
The Great Adventures Of Slick Rick,1,605135,605135.0,54.0,album,1988-11-03,day,False,12,42,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Shiesty Season - Spring Deluxe,1,1012529,1012529.0,70.0,album,2021-05-21,day,False,21,53,37.85714285714287,67,13,91,4.230769230769231,183,True,True,True,False,True,True,True,False,False,True
Rep the Set,1,365496,365496.0,49.0,single,2018-01-16,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Virtual (Blue Balenciagas),1,8146746,8146746.0,72.0,single,2018-04-20,day,False,1,3,49.0,49,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
NAV,1,3129714,3129714.0,75.0,album,2017-02-24,day,False,11,28,52.90909090909091,73,1,93,93.0,178,True,True,True,False,True,True,True,False,False,True
"ETA (with Snoop Dogg, Busta Rhymes & Anderson .Paak)",3,19430643,6476881.0,79.0,single,2022-02-04,day,False,1,3,59.0,59,1,69,69.0,183,True,True,True,False,True,True,True,False,False,True
Greatest Hits,1,690075,690075.0,54.0,compilation,2002-11-19,day,False,17,71,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
