album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Aguardiente,2,41617,20808.5,37.5,album,2018-03-06,day,False,12,40,8.916666666666666,22,5,62,3.8,183,True,True,True,False,True,True,True,False,False,True
Watch Out,1,7468073,7468073.0,75.0,single,2015-07-22,day,False,1,3,54.0,54,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
Man On The Moon III: The Chosen,1,6124157,6124157.0,81.0,album,2020-12-11,day,False,18,49,57.50000000000001,72,4,82,20.25,183,True,True,True,False,True,True,True,False,False,True
Bin Laden (Remixes) Featuring Chuck D & KRS 1,1,455293,455293.0,52.0,album,2005-08-09,day,False,7,17,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
TV Dinner,1,141565,141565.0,39.0,single,2017-03-24,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Old Town Road,1,12019688,12019688.0,81.0,single,2019-04-05,day,False,2,3,0.5,1,1,63,63.0,0,False,False,False,False,False,False,False,False,False,False
Madvillainy,1,483049,483049.0,65.0,album,2004,year,False,22,33,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Monday to Sunday (feat. Lil Baby & BIG30),1,1011858,1011858.0,70.0,single,2020-06-26,day,False,1,3,60.0,60,2,89,44.5,183,True,True,True,False,True,True,True,False,False,True
Trap Lord,1,3391364,3391364.0,70.0,album,2013-08-19,day,False,13,43,40.61538461538461,68,11,80,2.272727272727273,183,True,True,True,False,True,True,True,False,False,True
The Recession,1,2237499,2237499.0,70.0,album,2008-01-01,day,False,18,66,0.0,0,5,90,14.4,0,False,False,False,False,False,False,False,False,False,False
