,album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
205,Party Monster,1,52111786,52111786.0,93.0,single,2016-11-17,day,False,1,4,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
206,Famous Cryp,1,5484715,5484715.0,66.0,album,2018-12-18,day,False,10,17,0.1,1,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
207,Rodeo (Expanded Edition),1,21300870,21300870.0,87.0,album,2015-09-04,day,False,16,65,60.875,78,13,93,5.461538461538462,183,True,True,True,False,True,True,True,False,False,True
208,Wow. (Remix),1,38671957,38671957.0,87.0,single,2019-03-15,day,False,1,2,0.0,0,2,79,39.0,0,False,False,False,False,False,False,False,False,False,False
209,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2,9516701,4758350.5,70.0,single,2019-04-24,day,False,1,4,0.0,0,3,91,25.33333333333333,0,False,False,False,False,False,False,False,False,False,False
210,Life Is Good (feat. Drake),2,80946702,40473351.0,91.0,single,2020-01-10,day,False,1,3,77.0,77,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
211,The College Dropout,1,18613723,18613723.0,90.0,album,2004-02-10,day,False,21,66,57.23809523809525,79,13,82,3.230769230769231,183,True,True,True,False,True,True,True,False,False,True
212,Swim Good,1,10176813,10176813.0,82.0,single,2011-01-01,day,False,1,4,67.0,67,0,0,0.0,118,True,True,True,False,True,True,True,False,False,True
213,The Documentary,1,4255262,4255262.0,72.0,album,2005,year,False,18,62,49.33333333333334,82,11,90,6.2727272727272725,182,True,True,True,False,True,True,True,False,False,True
214,Certified Lover Boy,1,68545753,68545753.0,96.0,album,2021-09-03,day,False,21,75,71.38095238095238,84,16,91,5.0625,183,True,True,True,False,True,True,True,False,False,True
215,Curtain Call: The Hits (Deluxe Edition),1,61300484,61300484.0,90.0,compilation,2005-12-06,day,False,24,98,52.250000000000014,76,7,83,11.714285714285714,183,True,True,True,False,True,True,True,False,False,True
216,Mr. Morale & The Big Steppers,1,21895466,21895466.0,87.0,album,2022-05-13,day,False,19,68,70.73684210526315,82,11,81,4.363636363636363,182,True,True,True,False,True,True,True,False,False,True
217,Under Pressure (Deluxe),1,5805600,5805600.0,75.0,album,2014-10-21,day,False,15,61,52.26666666666666,63,2,77,38.5,183,True,True,True,False,True,True,True,False,False,True
218,It Was Written,1,3023692,3023692.0,71.0,album,1996-07-02,day,False,14,51,49.5,69,9,78,7.777777777777778,183,True,True,True,False,True,True,True,False,False,True
219,Dark Sky Paradise,1,10159914,10159914.0,77.0,album,2015-02-24,day,False,12,44,50.75000000000001,74,9,96,8.444444444444445,181,True,True,True,False,False,True,True,False,False,True
220,Ambition For Cash,1,1360325,1360325.0,72.0,single,2021-10-01,day,False,1,2,70.0,70,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
221,No Limit Top Dogg,1,8877787,8877787.0,82.0,album,1999-01-01,day,False,21,66,33.14285714285714,62,19,78,1.631578947368421,183,True,True,True,False,True,True,True,False,False,True
222,Mamacita (feat. Rich Homie Quan & Young Thug),1,21300870,21300870.0,87.0,single,2014-08-18,day,False,1,4,64.0,64,2,82,41.0,183,True,True,True,False,True,True,True,False,False,True
223,Merry Go Round,1,183275,183275.0,51.0,album,2001-01-01,day,False,15,51,25.066666666666663,58,4,42,3.0,67,True,True,True,False,True,True,False,False,False,True
224,Oxymoron (Deluxe),1,4298851,4298851.0,71.0,album,2014-01-01,day,False,15,61,50.2,76,9,87,5.111111111111111,180,True,True,True,False,True,True,True,False,False,True
225,In A Minute,1,12028254,12028254.0,89.0,single,2022-04-07,day,False,1,3,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
226,Nothing Was The Same (Deluxe),1,68545753,68545753.0,96.0,album,2013-01-01,day,False,16,64,57.25,73,7,82,11.0,176,False,True,True,False,True,True,True,False,False,True
227,DC4,1,6637379,6637379.0,74.0,album,2016-10-28,day,False,14,49,44.35714285714285,66,14,91,5.285714285714286,169,True,True,True,False,True,True,False,False,False,True
228,Issa Album,1,11964059,11964059.0,91.0,album,2017-09-23,day,False,14,48,0.8571428571428572,9,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
229,Nail Tech,1,2655763,2655763.0,81.0,single,2022-02-18,day,False,2,5,55.0,72,0,0,0.0,179,True,True,True,False,True,True,True,False,False,True
230,Swimming,1,8158416,8158416.0,82.0,album,2018-08-03,day,False,13,51,68.38461538461539,79,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
231,West Side,1,4255262,4255262.0,72.0,single,2019-06-21,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
232,DS4EVER,1,4684453,4684453.0,83.0,album,2022-01-13,day,False,20,50,60.45000000000001,77,15,96,5.266666666666667,183,True,True,True,False,True,True,True,False,False,True
233,Diet Coke,1,2592780,2592780.0,71.0,single,2022-02-08,day,False,1,2,57.0,57,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
234,Monster,1,12400949,12400949.0,86.0,album,2014-10-28,day,False,13,40,46.230769230769226,67,1,84,84.0,183,True,True,True,False,True,True,True,False,False,True
